ItemName,GLAccount,GLAccountName,CostCenter
ABS Plastic Resin (Acrylonitrile Butadiene Styrene),40721,Raw Materials,CC108
ABS Plastic Resin (Acrylonitrile Butadiene Styrene),40211,Packaging Materials,CC102
ABS Plastic Resin (Acrylonitrile Butadiene Styrene),40211,Packaging Materials,CC107
ABS Plastic Resin (Acrylonitrile Butadiene Styrene),42307,Manufacturing Supplies,CC108
ABS Plastic Resin (Acrylonitrile Butadiene Styrene),45015,Freight-In,CC109
ABS Plastic Resin (Acrylonitrile Butadiene Styrene),40721,Raw Materials,CC104
High-Impact Polystyrene (HIPS),45015,Freight-In,CC103
High-Impact Polystyrene (HIPS),40211,Packaging Materials,CC103
High-Impact Polystyrene (HIPS),40721,Raw Materials,CC108
High-Impact Polystyrene (HIPS),40211,Packaging Materials,CC101
High-Impact Polystyrene (HIPS),40211,Packaging Materials,CC102
High-Impact Polystyrene (HIPS),40721,Raw Materials,CC103
Polyethylene Packaging Film,45015,Freight-In,CC103
Polyethylene Packaging Film,40211,Packaging Materials,CC109
Polyethylene Packaging Film,45015,Freight-In,CC105
Injection Molding Machinery Spare Parts,45015,Freight-In,CC102
Injection Molding Machinery Spare Parts,45015,Freight-In,CC103
Injection Molding Machinery Spare Parts,42307,Manufacturing Supplies,CC107
Automated Sorting System Components,40211,Packaging Materials,CC102
Automated Sorting System Components,40721,Raw Materials,CC108
Automated Sorting System Components,42307,Manufacturing Supplies,CC103
Automated Sorting System Components,40721,Raw Materials,CC108
Automated Sorting System Components,42307,Manufacturing Supplies,CC104
Automated Sorting System Components,42307,Manufacturing Supplies,CC107
Silicone Rubber for Minifigure Accessories,40721,Raw Materials,CC103
Silicone Rubber for Minifigure Accessories,40211,Packaging Materials,CC108
Custom Steel Molds for Bricks,42307,Manufacturing Supplies,CC109
Custom Steel Molds for Bricks,45015,Freight-In,CC109
Boxboard Packaging Cartons,40211,Packaging Materials,CC107
Boxboard Packaging Cartons,42307,Manufacturing Supplies,CC108
Primary Cardboard Shipping Boxes,42307,Manufacturing Supplies,CC105
Primary Cardboard Shipping Boxes,40721,Raw Materials,CC101
Primary Cardboard Shipping Boxes,40721,Raw Materials,CC107
Primary Cardboard Shipping Boxes,40721,Raw Materials,CC104
Primary Cardboard Shipping Boxes,40211,Packaging Materials,CC107
Primary Cardboard Shipping Boxes,42307,Manufacturing Supplies,CC105
Printing Inks for Packaging,40211,Packaging Materials,CC100
Printing Inks for Packaging,45015,Freight-In,CC104
Printing Inks for Packaging,40211,Packaging Materials,CC108
Printing Inks for Packaging,40721,Raw Materials,CC109
Thermal Transfer Barcode Labels,40211,Packaging Materials,CC109
Thermal Transfer Barcode Labels,40211,Packaging Materials,CC108
Thermal Transfer Barcode Labels,40211,Packaging Materials,CC109
Warehouse Conveyor Belts,45015,Freight-In,CC105
Warehouse Conveyor Belts,45015,Freight-In,CC109
Warehouse Conveyor Belts,40721,Raw Materials,CC100
Warehouse Conveyor Belts,40211,Packaging Materials,CC102
Warehouse Conveyor Belts,42307,Manufacturing Supplies,CC100
Warehouse Conveyor Belts,40211,Packaging Materials,CC103
Shrink Wrap Film,40721,Raw Materials,CC101
Shrink Wrap Film,40721,Raw Materials,CC104
Shrink Wrap Film,40721,Raw Materials,CC103
Shrink Wrap Film,42307,Manufacturing Supplies,CC100
Robotic Arm Grippers & End Effectors,40211,Packaging Materials,CC106
Robotic Arm Grippers & End Effectors,45015,Freight-In,CC107
Robotic Arm Grippers & End Effectors,42307,Manufacturing Supplies,CC107
Electric Motors for Assembly Lines,45015,Freight-In,CC109
Electric Motors for Assembly Lines,40721,Raw Materials,CC101
Electric Motors for Assembly Lines,42307,Manufacturing Supplies,CC108
Electric Motors for Assembly Lines,40211,Packaging Materials,CC108
Steel Pallets and Racking,40721,Raw Materials,CC107
Steel Pallets and Racking,40721,Raw Materials,CC102
Steel Pallets and Racking,40211,Packaging Materials,CC109
Steel Pallets and Racking,45015,Freight-In,CC100
Automated Guided Vehicle (AGV) Batteries,42307,Manufacturing Supplies,CC109
Automated Guided Vehicle (AGV) Batteries,45015,Freight-In,CC103
Automated Guided Vehicle (AGV) Batteries,40721,Raw Materials,CC105
Automated Guided Vehicle (AGV) Batteries,40211,Packaging Materials,CC109
Automated Guided Vehicle (AGV) Batteries,42307,Manufacturing Supplies,CC108
Automated Guided Vehicle (AGV) Batteries,40721,Raw Materials,CC105
RFID Tags for Inventory Tracking,40721,Raw Materials,CC109
RFID Tags for Inventory Tracking,45015,Freight-In,CC105
RFID Tags for Inventory Tracking,40721,Raw Materials,CC101
RFID Tags for Inventory Tracking,45015,Freight-In,CC107
RFID Tags for Inventory Tracking,40721,Raw Materials,CC100
Industrial Cleaning Chemicals,42307,Manufacturing Supplies,CC103
Industrial Cleaning Chemicals,42307,Manufacturing Supplies,CC108
Industrial Cleaning Chemicals,40211,Packaging Materials,CC104
Industrial Cleaning Chemicals,40211,Packaging Materials,CC101
Industrial Cleaning Chemicals,42307,Manufacturing Supplies,CC102
Industrial Cleaning Chemicals,45015,Freight-In,CC107
Mold Release Agents,40211,Packaging Materials,CC109
Mold Release Agents,45015,Freight-In,CC107
Mold Release Agents,40211,Packaging Materials,CC101
Mold Release Agents,40211,Packaging Materials,CC108
Mold Release Agents,40211,Packaging Materials,CC109
Safety Workwear (PPE),42307,Manufacturing Supplies,CC100
Safety Workwear (PPE),40721,Raw Materials,CC105
Sensor Modules (for Automation),45015,Freight-In,CC108
Sensor Modules (for Automation),45015,Freight-In,CC105
Sensor Modules (for Automation),42307,Manufacturing Supplies,CC104
Sensor Modules (for Automation),40721,Raw Materials,CC102
Industrial Adhesives & Solvents,42307,Manufacturing Supplies,CC102
Industrial Adhesives & Solvents,42307,Manufacturing Supplies,CC102
Compressed Air Filters and Hoses,40721,Raw Materials,CC104
Compressed Air Filters and Hoses,42307,Manufacturing Supplies,CC103
Compressed Air Filters and Hoses,40211,Packaging Materials,CC107
Compressed Air Filters and Hoses,42307,Manufacturing Supplies,CC102
Machine Tooling Inserts,45015,Freight-In,CC107
Machine Tooling Inserts,40721,Raw Materials,CC108
Machine Tooling Inserts,40211,Packaging Materials,CC101
Machine Tooling Inserts,45015,Freight-In,CC100
Fire Suppression System Parts,40211,Packaging Materials,CC107
Fire Suppression System Parts,45015,Freight-In,CC105
Fire Suppression System Parts,40211,Packaging Materials,CC105
Fire Suppression System Parts,40211,Packaging Materials,CC101
Fire Suppression System Parts,40211,Packaging Materials,CC108
Fire Suppression System Parts,45015,Freight-In,CC108
