ItemName,GLAccount,GLAccountName,CostCenter,CustomerName
Utility-Scale Onshore Wind Turbine,32307,Service Revenue,CC103,Iberdrola
Utility-Scale Onshore Wind Turbine,36629,Interest Income,CC107,Pattern Energy
Utility-Scale Onshore Wind Turbine,32307,Service Revenue,CC105,Acciona Energia
Utility-Scale Offshore Wind Turbine,35015,Sales Revenue,CC104,E.ON
Utility-Scale Offshore Wind Turbine,32307,Service Revenue,CC106,Iberdrola
Utility-Scale Offshore Wind Turbine,35015,Sales Revenue,CC104,E.ON
Wind Turbine Maintenance Service Contract,35015,Sales Revenue,CC100,Pattern Energy
Wind Turbine Maintenance Service Contract,32307,Service Revenue,CC102,Pattern Energy
Wind Turbine Blades,35015,Sales Revenue,CC107,Siemens Gamesa
Wind Turbine Blades,35015,Sales Revenue,CC100,General Electric
Wind Turbine Blades,32307,Service Revenue,CC106,NextEra Energy
Wind Turbine Gearboxes,32307,Service Revenue,CC105,Nordex SE
Wind Turbine Gearboxes,35015,Sales Revenue,CC106,Siemens Gamesa
Wind Turbine Gearboxes,35015,Sales Revenue,CC102,Enel Green Power
Wind Turbine Gearboxes,36629,Interest Income,CC104,Acciona Energia
Wind Turbine Towers,32307,Service Revenue,CC106,Pattern Energy
Wind Turbine Towers,36629,Interest Income,CC103,General Electric
Wind Turbine Towers,35015,Sales Revenue,CC103,Iberdrola
Wind Turbine Towers,36629,Interest Income,CC108,Iberdrola
Wind Turbine Nacelles,36629,Interest Income,CC109,General Electric
Wind Turbine Nacelles,36629,Interest Income,CC100,Siemens Gamesa
Wind Turbine Nacelles,35015,Sales Revenue,CC105,Nordex SE
Wind Turbine Nacelles,35015,Sales Revenue,CC104,Acciona Energia
Wind Turbine Nacelles,36629,Interest Income,CC103,Nordex SE
Wind Turbine Control Systems,32307,Service Revenue,CC103,Enel Green Power
Wind Turbine Control Systems,36629,Interest Income,CC101,E.ON
Wind Turbine Control Systems,32307,Service Revenue,CC106,Enel Green Power
Wind Turbine Control Systems,35015,Sales Revenue,CC105,Pattern Energy
Wind Turbine Control Systems,35015,Sales Revenue,CC106,General Electric
Wind Turbine Control Systems,36629,Interest Income,CC101,Ørsted
Turbine Installation Services,35015,Sales Revenue,CC102,Ørsted
Turbine Installation Services,32307,Service Revenue,CC108,General Electric
Remote Monitoring & Diagnostics Platform,36629,Interest Income,CC100,Ørsted
Remote Monitoring & Diagnostics Platform,32307,Service Revenue,CC102,E.ON
Grid Connection Solutions,36629,Interest Income,CC106,Ørsted
Grid Connection Solutions,32307,Service Revenue,CC100,NextEra Energy
Grid Connection Solutions,32307,Service Revenue,CC105,NextEra Energy
Grid Connection Solutions,32307,Service Revenue,CC104,E.ON
Hybrid Wind-Solar Solutions,35015,Sales Revenue,CC103,Siemens Gamesa
Hybrid Wind-Solar Solutions,35015,Sales Revenue,CC104,Enel Green Power
Hybrid Wind-Solar Solutions,35015,Sales Revenue,CC107,Pattern Energy
Hybrid Wind-Solar Solutions,35015,Sales Revenue,CC103,E.ON
Hybrid Wind-Solar Solutions,35015,Sales Revenue,CC101,Enel Green Power
Hybrid Wind-Solar Solutions,32307,Service Revenue,CC105,Ørsted
Energy Storage Integration Package,35015,Sales Revenue,CC108,NextEra Energy
Energy Storage Integration Package,32307,Service Revenue,CC100,Pattern Energy
Energy Storage Integration Package,32307,Service Revenue,CC106,Acciona Energia
Energy Storage Integration Package,36629,Interest Income,CC107,Acciona Energia
Wind Turbine Generators,32307,Service Revenue,CC106,Nordex SE
Wind Turbine Generators,32307,Service Revenue,CC102,Nordex SE
Wind Turbine Generators,32307,Service Revenue,CC109,E.ON
Wind Turbine Generators,32307,Service Revenue,CC104,Iberdrola
Turbine Upgrades & Life Extension Kits,32307,Service Revenue,CC100,Iberdrola
Turbine Upgrades & Life Extension Kits,32307,Service Revenue,CC107,Pattern Energy
Turbine Upgrades & Life Extension Kits,35015,Sales Revenue,CC104,Iberdrola
Turbine Upgrades & Life Extension Kits,32307,Service Revenue,CC104,Pattern Energy
Turbine Upgrades & Life Extension Kits,32307,Service Revenue,CC102,General Electric
Turbine Upgrades & Life Extension Kits,32307,Service Revenue,CC101,Siemens Gamesa
Predictive Maintenance Software,32307,Service Revenue,CC102,E.ON
Predictive Maintenance Software,32307,Service Revenue,CC104,Iberdrola
Annual Safety Inspection Package,36629,Interest Income,CC102,NextEra Energy
Annual Safety Inspection Package,35015,Sales Revenue,CC100,NextEra Energy
Annual Safety Inspection Package,35015,Sales Revenue,CC100,Nordex SE
Annual Safety Inspection Package,32307,Service Revenue,CC102,Iberdrola
Annual Safety Inspection Package,32307,Service Revenue,CC109,Pattern Energy
Wind Resource Assessment Services,36629,Interest Income,CC108,Pattern Energy
Wind Resource Assessment Services,36629,Interest Income,CC109,Acciona Energia
Wind Resource Assessment Services,32307,Service Revenue,CC100,Pattern Energy
Wind Resource Assessment Services,32307,Service Revenue,CC103,NextEra Energy
Wind Resource Assessment Services,35015,Sales Revenue,CC105,General Electric
Turbine Retrofit Packages,36629,Interest Income,CC103,E.ON
Turbine Retrofit Packages,32307,Service Revenue,CC106,Siemens Gamesa
Digital Twin Modeling Service,36629,Interest Income,CC103,Siemens Gamesa
Digital Twin Modeling Service,36629,Interest Income,CC103,General Electric
Digital Twin Modeling Service,32307,Service Revenue,CC103,Acciona Energia
Digital Twin Modeling Service,35015,Sales Revenue,CC103,Enel Green Power
Performance Optimization Analytics,32307,Service Revenue,CC109,Iberdrola
Performance Optimization Analytics,35015,Sales Revenue,CC108,NextEra Energy
Performance Optimization Analytics,32307,Service Revenue,CC106,Iberdrola
Blade Repair Services,36629,Interest Income,CC101,Iberdrola
Blade Repair Services,35015,Sales Revenue,CC107,Acciona Energia
Blade Repair Services,32307,Service Revenue,CC102,Nordex SE
Blade Repair Services,32307,Service Revenue,CC105,Pattern Energy
Blade Repair Services,35015,Sales Revenue,CC108,Enel Green Power
Blade Repair Services,32307,Service Revenue,CC104,Siemens Gamesa
Component Refurbishment Services,35015,Sales Revenue,CC105,Ørsted
Component Refurbishment Services,35015,Sales Revenue,CC107,NextEra Energy
Component Refurbishment Services,32307,Service Revenue,CC104,Acciona Energia
Fleet Asset Management Platform,36629,Interest Income,CC106,General Electric
Fleet Asset Management Platform,32307,Service Revenue,CC101,Siemens Gamesa
Decommissioning & Repowering Services,32307,Service Revenue,CC105,NextEra Energy
Decommissioning & Repowering Services,32307,Service Revenue,CC101,Pattern Energy
Decommissioning & Repowering Services,32307,Service Revenue,CC101,NextEra Energy
Decommissioning & Repowering Services,36629,Interest Income,CC106,Nordex SE
Decommissioning & Repowering Services,36629,Interest Income,CC106,Enel Green Power
Lightning Protection Systems,36629,Interest Income,CC100,Enel Green Power
Lightning Protection Systems,36629,Interest Income,CC102,Ørsted
Lightning Protection Systems,35015,Sales Revenue,CC108,Siemens Gamesa
Lightning Protection Systems,32307,Service Revenue,CC100,Enel Green Power
Lightning Protection Systems,36629,Interest Income,CC104,NextEra Energy
High-Voltage Transformer Units,32307,Service Revenue,CC103,Pattern Energy
High-Voltage Transformer Units,32307,Service Revenue,CC104,Nordex SE
High-Voltage Transformer Units,32307,Service Revenue,CC105,Pattern Energy
High-Voltage Transformer Units,36629,Interest Income,CC108,Nordex SE
Noise Reduction Retrofit Kits,35015,Sales Revenue,CC106,E.ON
Noise Reduction Retrofit Kits,35015,Sales Revenue,CC105,Pattern Energy
Foundation Design & Supply,35015,Sales Revenue,CC107,Ørsted
Foundation Design & Supply,36629,Interest Income,CC102,Ørsted
Foundation Design & Supply,32307,Service Revenue,CC101,General Electric
Foundation Design & Supply,36629,Interest Income,CC101,Ørsted
Environmental Impact Assessment Service,32307,Service Revenue,CC105,Iberdrola
Environmental Impact Assessment Service,32307,Service Revenue,CC104,Siemens Gamesa
Environmental Impact Assessment Service,36629,Interest Income,CC102,E.ON
Crane & Heavy Lift Rental Services,32307,Service Revenue,CC108,Acciona Energia
Crane & Heavy Lift Rental Services,36629,Interest Income,CC101,Ørsted
Crane & Heavy Lift Rental Services,35015,Sales Revenue,CC100,Ørsted
Crane & Heavy Lift Rental Services,36629,Interest Income,CC109,Pattern Energy
Crane & Heavy Lift Rental Services,35015,Sales Revenue,CC105,Nordex SE
Crane & Heavy Lift Rental Services,32307,Service Revenue,CC105,NextEra Energy
Offshore Substation Packages,32307,Service Revenue,CC104,NextEra Energy
Offshore Substation Packages,36629,Interest Income,CC106,General Electric
Turbine Commissioning Services,36629,Interest Income,CC101,E.ON
Turbine Commissioning Services,32307,Service Revenue,CC105,E.ON
Turbine Commissioning Services,32307,Service Revenue,CC100,Pattern Energy
Power Purchase Agreement Advisory Service,32307,Service Revenue,CC101,Pattern Energy
Power Purchase Agreement Advisory Service,35015,Sales Revenue,CC103,General Electric
Wind Measurement Equipment,32307,Service Revenue,CC106,Acciona Energia
Wind Measurement Equipment,32307,Service Revenue,CC106,Ørsted
Subsea Cable & Connection Solutions,36629,Interest Income,CC105,Siemens Gamesa
Subsea Cable & Connection Solutions,35015,Sales Revenue,CC102,Siemens Gamesa
Subsea Cable & Connection Solutions,35015,Sales Revenue,CC103,Nordex SE
Subsea Cable & Connection Solutions,32307,Service Revenue,CC101,Pattern Energy
Subsea Cable & Connection Solutions,35015,Sales Revenue,CC108,Siemens Gamesa
Smart Power Forecasting Tools,32307,Service Revenue,CC106,Iberdrola
Smart Power Forecasting Tools,36629,Interest Income,CC104,General Electric
Smart Power Forecasting Tools,35015,Sales Revenue,CC108,Ørsted
Wind Farm Design & Engineering Consulting,35015,Sales Revenue,CC105,E.ON
Wind Farm Design & Engineering Consulting,35015,Sales Revenue,CC109,Enel Green Power
Wind Farm Design & Engineering Consulting,35015,Sales Revenue,CC106,Nordex SE
Remote Troubleshooting Support,32307,Service Revenue,CC105,Iberdrola
Remote Troubleshooting Support,32307,Service Revenue,CC105,Iberdrola
Remote Troubleshooting Support,36629,Interest Income,CC103,Pattern Energy
Remote Troubleshooting Support,32307,Service Revenue,CC109,Siemens Gamesa
Remote Troubleshooting Support,32307,Service Revenue,CC104,Siemens Gamesa
Ice Detection & Prevention Systems,32307,Service Revenue,CC106,Acciona Energia
Ice Detection & Prevention Systems,36629,Interest Income,CC105,Ørsted
Ice Detection & Prevention Systems,36629,Interest Income,CC105,Iberdrola
Ice Detection & Prevention Systems,32307,Service Revenue,CC106,Siemens Gamesa
Ice Detection & Prevention Systems,36629,Interest Income,CC109,Ørsted
Ice Detection & Prevention Systems,36629,Interest Income,CC108,Acciona Energia
Project Financing Solutions,35015,Sales Revenue,CC101,Iberdrola
Project Financing Solutions,36629,Interest Income,CC106,Enel Green Power
Project Financing Solutions,36629,Interest Income,CC109,Iberdrola
Project Financing Solutions,35015,Sales Revenue,CC103,Enel Green Power
Project Financing Solutions,36629,Interest Income,CC101,E.ON
Project Financing Solutions,32307,Service Revenue,CC103,Ørsted
Training & Certification Programs,36629,Interest Income,CC101,Siemens Gamesa
Training & Certification Programs,32307,Service Revenue,CC103,E.ON
Training & Certification Programs,35015,Sales Revenue,CC107,Iberdrola
Access & Service Platforms,36629,Interest Income,CC106,NextEra Energy
Access & Service Platforms,32307,Service Revenue,CC103,Nordex SE
Access & Service Platforms,32307,Service Revenue,CC100,Iberdrola
Access & Service Platforms,32307,Service Revenue,CC104,Siemens Gamesa
Access & Service Platforms,35015,Sales Revenue,CC106,NextEra Energy
Access & Service Platforms,36629,Interest Income,CC104,Enel Green Power
Oil & Lubricant Supply Services,36629,Interest Income,CC106,E.ON
Oil & Lubricant Supply Services,35015,Sales Revenue,CC104,Iberdrola
Oil & Lubricant Supply Services,36629,Interest Income,CC105,E.ON
Oil & Lubricant Supply Services,32307,Service Revenue,CC106,Pattern Energy
Oil & Lubricant Supply Services,35015,Sales Revenue,CC101,Siemens Gamesa
Oil & Lubricant Supply Services,36629,Interest Income,CC106,E.ON
Customer Portal Access Subscription,36629,Interest Income,CC109,Acciona Energia
Customer Portal Access Subscription,36629,Interest Income,CC100,NextEra Energy
Customer Portal Access Subscription,35015,Sales Revenue,CC106,Nordex SE
Rotor Balancing Service,36629,Interest Income,CC104,Ørsted
Rotor Balancing Service,35015,Sales Revenue,CC109,Enel Green Power
Rotor Balancing Service,35015,Sales Revenue,CC108,Pattern Energy
Offshore Crew Transfer Solutions,32307,Service Revenue,CC102,Enel Green Power
